location,year,sex,age,smoke,overweight
GBR,2010,female,50-54,0.20328097,0.656
GBR,2010,female,55-59,0.192584559,0.678
GBR,2010,female,60-64,0.15927057,0.676
GBR,2010,female,65-69,0.143036231,0.684
GBR,2010,male,20-24,0.278349698,0.414
GBR,2010,male,25-29,0.316119939,0.526
GBR,2010,male,30-34,0.301495165,0.619
GBR,2010,male,35-39,0.265753448,0.702
GBR,2010,male,40-44,0.257301748,0.748
GBR,2010,male,45-49,0.227662951,0.761
GBR,2010,male,50-54,0.230091304,0.764
GBR,2010,male,55-59,0.213977635,0.771
GBR,2010,male,60-64,0.168452874,0.768
GBR,2010,male,65-69,0.139434725,0.765
GBR,2011,female,20-24,0.282158405,0.388
GBR,2011,female,25-29,0.247209534,0.459
GBR,2011,female,30-34,0.193000942,0.497
GBR,2011,female,35-39,0.209656283,0.561
GBR,2011,female,40-44,0.214958668,0.591
GBR,2011,female,45-49,0.234507903,0.616
GBR,2011,female,50-54,0.202021405,0.66
GBR,2011,female,55-59,0.190706536,0.678
GBR,2011,female,60-64,0.158195123,0.677
GBR,2011,female,65-69,0.145353884,0.683
GBR,2011,male,20-24,0.276881307,0.416
GBR,2011,male,25-29,0.310034811,0.521
GBR,2011,male,30-34,0.300777555,0.619
GBR,2011,male,35-39,0.260911316,0.701
GBR,2011,male,40-44,0.256059676,0.751
GBR,2011,male,45-49,0.229873002,0.765
GBR,2011,male,50-54,0.226744369,0.767
GBR,2011,male,55-59,0.219507277,0.771
GBR,2011,male,60-64,0.171748772,0.768
GBR,2011,male,65-69,0.140767395,0.767
GBR,2012,female,20-24,0.280701846,0.389
GBR,2012,female,25-29,0.245421663,0.465
GBR,2012,female,30-34,0.18964836,0.503
GBR,2012,female,35-39,0.207312196,0.561
GBR,2012,female,40-44,0.216847837,0.594
GBR,2012,female,45-49,0.236823022,0.617
GBR,2012,female,50-54,0.202814624,0.663
GBR,2012,female,55-59,0.191179454,0.678
GBR,2012,female,60-64,0.158997014,0.679
GBR,2012,female,65-69,0.148301899,0.684
GBR,2012,male,20-24,0.278322607,0.417
GBR,2012,male,25-29,0.30611065,0.518
GBR,2012,male,30-34,0.301231742,0.62
GBR,2012,male,35-39,0.258575439,0.7
GBR,2012,male,40-44,0.255679548,0.751
GBR,2012,male,45-49,0.233157903,0.767
GBR,2012,male,50-54,0.225306943,0.77
GBR,2012,male,55-59,0.223637328,0.772
GBR,2012,male,60-64,0.174943164,0.769
GBR,2012,male,65-69,0.142670974,0.768
MEX,2000,female,20-24,0.056111228,0.425
MEX,2000,female,25-29,0.051812749,0.572
